squad_id,line,name,m,ws,bs,s,t,w,a,ld,sv,cost,cost_description,models_per_unit,cost_including_wargear,base_size,base_size_descr
431,1,Longstrike,"12""",6+,3+,6,7,14,3,9,3+,160,,1,FALSE,60mm flying base,
431,2,Gun Drone,"10""",5+,5+,3,4,1,1,6,4+,,,2,FALSE,32mm flying base,
432,1,Hammerhead Gunship,"12""",6+,4+,6,7,14,3,8,3+,145,,1,FALSE,60mm flying base,
432,2,Gun Drone,"10""",5+,5+,3,4,1,1,6,4+,,,2,FALSE,32mm flying base,
433,1,Broadside Shas’ui,"5""",5+,4+,5,5,8,3,8,2+,85,,0-2,FALSE,60mm,
433,2,Broadside Shas’vre,"5""",5+,4+,5,5,8,4,9,2+,85,,1,FALSE,60mm,
434,1,Stormsurge,"8""",5+,4+,8,8,22,3,8,2+,400,,1,FALSE,170 x 109mm,
435,1,Tidewall Droneport,-,-,4+,6,6,10,-,10,4+,80,,1,FALSE,Use model,
436,1,Tidewall Shieldline,-,-,-,6,6,10,-,10,4+,80,,1,FALSE,Use model,
436,2,Tidewall Defence Platform,-,-,-,6,6,10,-,10,4+,80,,0-1,FALSE,Use model,
437,1,Tidewall Gunrig,-,-,4+,6,6,16,-,10,4+,125,,1,FALSE,Use model,
438,1,Shas’o R’myr,"8""",3+,2+,5,5,5,4,9,3+,110,,1,TRUE,60mm,
439,1,Shas’o R’alai,"8""",3+,2+,5,5,7,4,9,3+,,,1,FALSE,65mm,
439,2,Blacklight Marker Drone,"8""",5+,4+,3,3,1,1,6,4+,,,2,FALSE,32mm flying base,
440,1,Commander in XV81 Crisis Battlesuit,"8""",3+,2+,5,5,5,4,9,3+,100,,1,FALSE,60mm,
441,1,DX4 Technical Drone,"8""",5+,5+,3,4,2,1,6,4+,20,,2-10,TRUE,32mm flying base,
442,1,Commander in XV84 Crisis Battlesuit,"8""",3+,2+,5,5,5,4,9,3+,90,,1,FALSE,60mm,
443,1,XV9 Hazard Battlesuit,"8""",5+,4+,5,5,4,3,8,3+,60,,1-3,FALSE,60mm,
444,1,XV109 Y’vahra Battlesuit,"18""",5+,4+,6,7,14,4,8,2+,300,,1,FALSE,120 x 92mm,
445,1,XV107 R’varna Battlesuit,"8""",5+,4+,6,8,15,4,8,2+,320,,1,FALSE,120 x 92mm,
446,1,KX139 Ta’unar Supremacy Armour,"10""",5+,3+,8,8,30,4,9,3+,1000,,1,FALSE,160mm,
447,1,Tetra,"18""",6+,4+,4,5,4,2,6,4+,40,,2-4,FALSE,60mm flying base,
448,1,TX42 Piranha,"16""",6+,4+,4,5,6,2,7,3+,55,,1-5,FALSE,60mm flying base,
449,1,Heavy Gun Drone,"8""",5+,5+,3,4,2,1,6,4+,18,,2-6,FALSE,32mm flying base,
452,1,DX-6 Remora Stealth Drone,"15-30""",5+,4+,4,5,5,2,6,3+,60,,1-4,FALSE,60mm flying base,
453,1,AX-5-2 Barracuda,"20-65""",6+,4+,6,7,14,3,8,3+,200,,1,FALSE,120 x 92mm flying base,
454,1,Tiger Shark,"20-65""",6+,4+,7,8,18,3,8,3+,375,,1,FALSE,160mm,
455,1,AX-1-0 Tiger Shark,"20-65""",6+,4+,7,8,18,3,8,3+,450,,1,FALSE,160mm,
456,1,Orca Dropship,"20""-55""",6+,4+,7,8,28,3,7,3+,300,,1,TRUE,Use model,
457,1,Manta,"20-60""",6+,4+,8,8,60,12,9,3+,2000,,1,FALSE,Use model,
458,1,Remote Sensor Tower,-,-,4+,-,6,3,-,-,4+,40,,1,TRUE,Use model,
459,1,Drone Sentry Turret,-,-,5+,-,6,3,-,-,4+,30,,1-4,FALSE,Use model,
460,1,Hive Tyrant,"9""",2+,2+,7,8,12,5,10,2+,180,,1,FALSE,60mm,
461,1,The Swarmlord,"9""",2+,2+,8,8,13,9,10,2+,240,,1,FALSE,60mm,
462,1,Old One Eye,"8""",2+,2+,6,7,9,6,7,2+,250,,1,FALSE,105 x 70mm,
463,1,Broodlord,"8""",2+,6+,5,5,7,6,10,4+,120,,1,FALSE,75 x 42mm,
464,1,Tyranid Prime,"6""",2+,2+,5,5,6,4,10,3+,85,,1,FALSE,50mm,
465,1,Tervigon,"8""",3+,3+,7,8,17,4,10,2+,235,,1,FALSE,120 x 92mm,
466,1,Tyranid Warrior,"6""",3+,3+,5,5,3,3,9,4+,30,,3-9,FALSE,50mm,
467,1,Genestealer,"8""",3+,6+,4,4,1,4,8,5+,16,,5-10,FALSE,25mm,
468,1,Termagant,"6""",4+,4+,3,3,1,1,5,5+,7,,10-30,FALSE,25mm,
469,1,Hormagaunt,"10""",4+,4+,3,3,1,3,5,5+,8,,10-30,FALSE,25mm,
470,1,Ripper Swarm,"6""",5+,5+,3,3,4,4,4,6+,15,,3-9,FALSE,40mm,
471,1,Tyrant Guard,"6""",3+,4+,5,6,4,3,5,2+,45,,3-6,FALSE,50mm,
472,1,Hive Guard,"6""",4+,3+,5,6,4,3,5,3+,55,,3-6,FALSE,50mm,
473,1,Lictor,"10""",2+,6+,7,5,5,6,8,4+,70,,1,FALSE,40mm,
474,1,Maleceptor,"8""",3+,3+,7,8,15,3,10,3+,220,,1,FALSE,120 x 92mm,
475,1,Zoanthrope,"6""",5+,3+,5,5,4,2,9,5+,70,,3-6,FALSE,40mm,
476,1,Venomthrope,"8""",3+,3+,5,5,4,5,5,4+,40,,3-6,FALSE,40mm,
477,1,Pyrovore,"5""",3+,3+,5,5,5,3,5,3+,40,,1-3,FALSE,60mm,
478,1,Haruspex,"8""",3+,3+,7,8,15,5,7,2+,170,,1,FALSE,120 x 92mm,
479,1,Deathleaper,"10""",2+,6+,7,5,7,7,8,4+,120,,1,FALSE,40mm,
482,1,Ravener,"12""",3+,3+,5,5,4,5,5,4+,45,,3-9,FALSE,40mm,
483,1,Sky-slasher Swarm,"12""",5+,5+,3,3,3,4,4,6+,15,,3-9,FALSE,40mm,
484,1,Gargoyle,"12""",4+,4+,3,3,1,1,5,6+,8,,10-20,FALSE,32mm flying base,
485,1,Harpy,"15-40""",3+,3+,6,7,13,4,8,3+,175,,1,FALSE,120 x 92mm flying base,
486,1,Hive Crone,"15-40""",3+,3+,6,7,13,4,8,3+,160,,1,FALSE,120 x 92mm flying base,
487,1,Mucolid Spore,"4""",6+,6+,1,4,4,-,10,6+,20,,1-3,FALSE,40mm,
488,1,Spore Mine,"4""",6+,6+,1,3,1,-,10,6+,10,,3-9,FALSE,25mm,
489,1,Tyrannocyte,"8""",5+,5+,7,7,15,6,6,4+,110,,1,FALSE,100mm,
490,1,Carnifex,"8""",3+,4+,6,7,9,4,6,2+,125,,1-3,FALSE,105 x 70mm,
491,1,Biovore,"5""",4+,4+,5,5,4,2,5,4+,45,,1-3,FALSE,60mm,
492,1,Trygon Prime,"10""",3+,3+,7,7,14,12,10,3+,175,,1,FALSE,120 x 92mm,
493,1,Trygon,"10""",3+,3+,7,7,14,12,7,3+,160,,1,FALSE,120 x 92mm,
494,1,Mawloc,"10""",3+,3+,7,7,14,16,7,3+,125,,1,FALSE,120 x 92mm,
495,1,Exocrine,"8""",3+,3+,7,8,15,3,7,2+,200,,1,FALSE,120 x 92mm,
496,1,Tyrannofex,"9""",3+,3+,7,8,17,4,7,2+,185,,1,FALSE,120 x 92mm,
497,1,Toxicrene,"8""",3+,3+,7,8,15,12,7,3+,150,,1,FALSE,120 x 92mm,
498,1,Sporocyst,-,5+,5+,7,7,10,6,6,4+,95,,1,FALSE,100mm,
499,1,Malanthrope,"5""",4+,4+,4,5,9,4,9,5+,150,,1,FALSE,60mm,
500,1,Dimachaeron,"12""",3+,3+,7,7,18,6,8,3+,280,,1,FALSE,120 x 92mm,
501,1,Meiotic Spore,"3""",-,-,1,2,2,1,10,7+,20,,3-6,FALSE,40mm,
502,1,Stone-crusher Carnifex,"7""",4+,4+,7,7,8,4,6,3+,120,,1,FALSE,60mm,
503,1,Barbed Hierodule,"8""",3+,3+,8,8,18,4,8,2+,275,,1,FALSE,127mm,
504,1,Harridan,"20-45""",3+,3+,8,8,34,5,9,3+,700,,1,FALSE,120 x 92mm flying base,
505,1,Hierophant,"10""",3+,3+,8,8,34,6,9,2+,850,,1,FALSE,Use model,
506,1,Scythed Hierodule,"12""",3+,3+,8,8,18,6,8,3+,235,,1,FALSE,127mm,
507,1,Patriarch,"8""",2+,4+,5,5,7,6,10,4+,140,,1,FALSE,50mm,Psychic familiar 25mm
508,1,Magus,"6""",3+,3+,3,3,4,3,9,5+,80,,1,FALSE,32mm,Psychic familiar 25mm
509,1,Primus,"6""",2+,2+,4,4,5,4,9,5+,70,,1,FALSE,32mm,
510,1,Acolyte Iconward,"6""",3+,3+,4,4,4,4,8,5+,65,,1,FALSE,32mm,
511,1,Acolyte Hybrid,"6""",3+,4+,4,4,1,2,7,5+,9,,4-14,FALSE,32mm,
511,2,Acolyte Leader,"6""",3+,4+,4,4,1,3,8,5+,9,,1,FALSE,32mm,
512,1,Neophyte Hybrid,"6""",4+,4+,3,3,1,1,7,5+,6,,9-19,FALSE,25mm,32mm if equipped with Heavy Mining Weapon
512,2,Neophyte Leader,"6""",4+,4+,3,3,1,2,8,5+,6,,1,FALSE,25mm,
513,1,Hybrid Metamorph,"6""",3+,4+,4,4,1,3,7,5+,12,,4-14,FALSE,32mm,
513,2,Metamorph Leader,"6""",3+,4+,4,4,1,4,8,5+,12,,1,FALSE,32mm,
514,1,Aberrant,"6""",3+,6+,5,5,3,2,7,5+,27,,4-9,FALSE,32mm,
514,2,Aberrant Hypermorph,"6""",3+,6+,5,5,3,3,7,5+,27,,1,FALSE,32mm,
515,1,Purestrain Genestealer,"8""",2+,6+,4,4,1,4,9,5+,14,,5-10,FALSE,25mm,
516,1,Goliath Truck,"12""",6+,4+,6,6,10,3,8,3+,90,,1,FALSE,Use model,
521,1,Goliath Rockgrinder,"12""",3+,4+,6,7,10,6,8,3+,110,,1,FALSE,Use model,
522,1,Imotekh the Stormlord,"6""",2+,2+,5,5,6,4,10,2+,130,,1,FALSE,25mm,
523,1,Overlord,"6""",2+,2+,5,5,5,4,10,3+,90,,1,FALSE,40mm,
524,1,Lord,"6""",3+,3+,5,5,4,3,10,3+,65,,1,FALSE,32mm,
527,1,Nemesor Zahndrekh,"6""",2+,2+,5,5,6,4,10,2+,125,,1,FALSE,25mm,
528,1,Vargard Obyron,"6""",2+,3+,5,5,6,4,10,2+,90,,1,FALSE,25mm,
530,1,Orikan the Diviner,"5""",3+,3+,4,4,5,2,10,4+,100,,1,FALSE,25mm,
530,2,Orikan Empowered,"5""",2+,2+,7,7,5,4,10,4+,,,,FALSE,25mm,
531,1,Anrakyr the Traveller,"6""",2+,2+,6,5,6,4,10,3+,130,,1,FALSE,25mm,
532,1,Trazyn the Infinite,"6""",2+,2+,5,5,6,4,10,3+,90,,1,FALSE,25mm,
533,1,Catacomb Command Barge,"12""",2+,2+,5,6,9,4,10,3+,145,,1,FALSE,Use model,
534,1,Necron Warrior,"5""",3+,3+,4,4,1,1,10,4+,11,,10-20,FALSE,32mm,
535,1,Immortal,"5""",3+,3+,4,5,1,2,10,3+,16,,5-10,FALSE,32mm,
536,1,Lychguard,"5""",3+,3+,5,5,2,3,10,3+,25,,5-10,FALSE,32mm,
537,1,Deathmarks,"5""",3+,2+,4,5,1,1,10,3+,13,,5-10,FALSE,32mm,
538,1,Flayed One,"5""",3+,6+,4,4,1,3,10,4+,10,,5-20,FALSE,28mm,
539,1,Triarch Praetorian,"10""",3+,3+,5,5,2,3,10,3+,20,,5-10,FALSE,32mm,
540,1,Triarch Stalker,"10""",3+,3+,7,6,12,3,10,3+,110,,1,FALSE,Use model,
541,1,C’tan Shard of the Nightbringer,"8""",2+,2+,7,7,9,6,10,4+,320,,1,FALSE,40mm,
542,1,C’tan Shard of the Deceiver,"8""",2+,2+,6,7,9,5,10,4+,300,,1,FALSE,40mm,
543,1,Ghost Ark,"12""",6+,3+,6,6,14,3,10,3+,115,,1,FALSE,60mm,
544,1,Night Scythe,"20-50""",6+,3+,6,6,12,3,10,3+,120,,1,FALSE,120 x 92mm flying base,
545,1,Doom Scythe,"20-50""",6+,3+,6,6,12,3,10,3+,165,,1,FALSE,120 x 92mm flying base,
546,1,Canoptek Wraith,"12""",4+,4+,4,5,3,4,10,3+,35,,3-6,FALSE,50mm,
548,1,Tomb Blades,"14""",3+,3+,4,5,2,1,10,4+,18,,3-9,FALSE,32mm flying base,
551,1,Canoptek Spyder,"6""",4+,4+,6,6,6,5,10,3+,60,,1-3,FALSE,60mm flying base,
552,1,Monolith,"8""",6+,3+,8,8,24,6,10,2+,270,,1,FALSE,160mm,
553,1,Annihilation Barge,"12""",6+,3+,5,6,8,3,10,3+,120,,1,FALSE,Use model,
554,1,Doomsday Ark,"12""",6+,3+,6,6,14,3,10,3+,145,,1,FALSE,60mm flying base,
555,1,Transcendent C’tan,"8""",2+,2+,6,7,9,5,10,4+,230,,1,FALSE,60mm flying base,
556,1,Tesseract Vault,"8""",6+,3+,8,7,30,6,10,2+,360,,1,FALSE,120 x 92mm flying base,
557,1,Obelisk,"8""",6+,3+,8,8,28,6,10,2+,270,,1,FALSE,120 x 92mm flying base,
558,1,Canoptek Tombstalker,"10""",4+,4+,6,7,9,6,10,3+,90,,1,FALSE,120 x 92mm,
559,1,Canoptek Acanthrite,"12""",4+,4+,5,5,3,2,10,3+,35,,3-6,FALSE,40mm,
560,1,Canoptek Tomb Sentinel,"10""",4+,4+,6,7,9,4,10,3+,100,,1,FALSE,120 x 92mm,
561,1,Night Shroud,"20-50""",6+,3+,6,7,14,3,10,3+,190,,1,FALSE,120 x 92mm flying base,
562,1,Sentry Pylon,-,-,3+,4,7,8,-,10,3+,100,,1-3,FALSE,Use model,
564,1,Tesseract Ark,"12""",6+,3+,5,7,10,3,10,3+,170,,1,FALSE,60mm,
565,1,Kutlakh the World Killer,"6""",2+,2+,5,5,6,4,10,3+,110,,1,TRUE,,
566,1,Toholk the Blinded,"5""",3+,5+,4,4,4,1,10,4+,80,,1,TRUE,,
567,1,Gauss Pylon,-,-,3+,6,8,30,-,10,3+,450,,1,FALSE,Use model,
568,1,Eldrad Ulthran,"7""",2+,2+,3,4,6,3,9,6+,145,,1,FALSE,32mm,
569,1,Prince Yriel,"7""",2+,2+,3,3,6,5,9,3+,95,,1,FALSE,32mm,
570,1,Illic Nightspear,"7""",2+,2+,3,3,5,4,9,4+,90,,1,FALSE,25mm,
571,1,Asurmen,"7""",2+,2+,4,4,6,6,9,2+,160,,1,FALSE,25mm,
572,1,Jain Zar,"8""",2+,2+,4,4,6,6,9,2+,150,,1,FALSE,40mm,
573,1,Karandras,"7""",2+,2+,4,4,6,6,9,2+,150,,1,FALSE,25mm,
574,1,Fuegan,"7""",2+,2+,5,5,6,6,9,2+,170,,1,FALSE,25mm,
575,1,Baharroth,"14""",2+,2+,4,4,6,6,9,2+,160,,1,FALSE,25mm,
576,1,Maugan Ra,"7""",2+,2+,4,4,6,6,9,2+,160,,1,FALSE,40mm,
577,1,Autarch,"7""",2+,2+,3,3,5,5,9,3+,85,,1,FALSE,32mm,
579,1,Autarch with Warp Jump Generator,"7""",2+,2+,3,3,5,4,9,3+,73,,1,FALSE,32mm,
580,1,Autarch Skyrunner,"16""",2+,2+,3,4,6,5,9,3+,105,,1,FALSE,32mm flying base,
581,1,Avatar of Khaine,"10""",2+,2+,7,8,14,7,10,2+,280,,1,FALSE,80mm,
582,1,Farseer,"7""",2+,2+,3,3,5,2,9,6+,105,,1,FALSE,25mm,
583,1,Farseer Skyrunner,"16""",2+,2+,3,4,6,2,9,4+,135,,1,FALSE,32mm flying base,
584,1,Warlock,"7""",3+,3+,3,3,2,2,8,6+,25,"If this unit contains 1 model, it costs 45pts/model instead.",1-6,FALSE,32mm,
586,1,Warlock Skyrunner,"16""",3+,3+,3,4,3,2,8,4+,40,"If this unit contains 1 model, it costs 65pts/model instead.",1-3,FALSE,32mm flying base,
588,1,Spiritseer,"7""",2+,2+,3,3,4,2,8,6+,75,,1,FALSE,25mm,
589,1,Guardian Defender,"7""",3+,3+,3,3,1,1,7,4+,9,,10-20,FALSE,28mm,
589,2,Heavy Weapon Platform,"7""",6+,3+,3,3,2,1,7,3+,20,,0-2,FALSE,40mm,
590,1,Guardian,"7""",3+,3+,3,3,1,1,7,4+,8,,10-20,FALSE,28mm,
590,2,Serpent’s Scale Platform,"7""",6+,3+,3,3,2,1,7,3+,20,,0-2,FALSE,28mm,
591,1,Windrider,"16""",3+,3+,3,4,2,1,7,3+,20,,3-9,FALSE,32mm flying base,
592,1,Ranger,"7""",3+,2+,3,3,1,1,7,5+,13,,5-10,FALSE,28mm,
593,1,Dire Avenger,"7""",3+,3+,3,3,1,2,8,4+,13,,4-9,FALSE,28mm,
593,2,Dire Avenger Exarch,"7""",3+,3+,3,3,2,3,8,4+,13,,1,FALSE,28mm,
594,1,Howling Banshee,"8""",3+,3+,3,3,1,3,8,4+,19,,4-9,FALSE,28mm,
594,2,Howling Banshee Exarch,"8""",3+,3+,3,3,2,4,8,4+,19,,1,FALSE,28mm,
595,1,Striking Scorpion,"7""",3+,3+,3,3,1,3,8,3+,18,,4-9,FALSE,25mm,
595,2,Striking Scorpion Exarch,"7""",3+,3+,3,3,2,4,8,3+,18,,1,FALSE,25mm,
596,1,Fire Dragon,"7""",3+,3+,3,4,1,2,8,3+,24,,4-9,FALSE,25mm,
596,2,Fire Dragon Exarch,"7""",3+,3+,3,4,2,3,8,3+,24,,1,FALSE,25mm,
597,1,Wraithguard,"5""",3+,3+,5,6,3,3,9,3+,40,,5-10,FALSE,40mm,
598,1,Wraithblade,"5""",3+,3+,5,6,3,3,9,3+,40,,5-10,FALSE,40mm,
599,1,Wave Serpent,"16""",6+,3+,6,7,13,3,8,3+,145,,1,FALSE,60mm flying base,
600,1,Swooping Hawk,"14""",3+,3+,3,3,1,2,8,4+,25,,4-9,FALSE,25mm,
600,2,Swooping Hawk Exarch,"14""",3+,3+,3,3,2,3,8,4+,25,,1,FALSE,25mm,
601,1,Warp Spider,"12""",3+,3+,3,3,1,2,8,3+,22,,4-9,FALSE,25mm,
601,2,Warp Spider Exarch,"12""",3+,3+,3,3,2,3,8,3+,22,,1,FALSE,25mm,
602,1,Shining Spear,"16""",3+,3+,3,4,2,3,8,3+,35,,2-5,FALSE,60mm flying base,
602,2,Shining Spear Exarch,"16""",3+,3+,3,4,3,4,8,3+,35,,1,FALSE,60mm flying base,
603,1,Crimson Hunter,"20-60""",6+,3+,6,6,12,3,8,3+,175,,1,FALSE,170 x 109mm flying base,
605,1,Vyper,"16""",6+,3+,4,5,6,2,8,3+,40,,1-3,FALSE,60mm flying base,
606,1,Hemlock Wraithfighter,"20-60""",6+,3+,6,6,12,3,8,3+,215,,1,FALSE,170 x 109mm flying base,
607,1,Dark Reaper,"6""",3+,3+,3,3,1,2,8,3+,,,4,FALSE,28mm,
607,2,Dark Reaper Exarch,"6""",3+,3+,3,3,2,3,8,3+,,,1,FALSE,28mm,
608,1,Support Weapon,"6""",3+,3+,3,5,5,2,7,4+,45,,1-3,FALSE,40mm,
609,1,Falcon,"16""",6+,3+,6,7,12,3,8,3+,145,,1,FALSE,60mm flying base,
610,1,Fire Prism,"16""",6+,3+,6,7,12,3,8,3+,165,,1,FALSE,60mm flying base,
611,1,Night Spinner,"16""",6+,3+,6,7,12,3,8,3+,140,,1,FALSE,60mm flying base,
612,1,War Walker,"10""",3+,3+,5,6,6,3,8,3+,55,,1-3,FALSE,60mm,
613,1,Wraithlord,"8""",3+,3+,7,8,9,4,9,3+,100,,1,FALSE,60mm,
614,1,Wraithknight,"12""",3+,3+,8,8,22,5,9,3+,400,,1,FALSE,120 x 92mm,
615,1,Shadow Spectre,"12""",3+,3+,3,3,1,1,8,3+,26,,5-10,FALSE,25mm,
615,2,Shadow Spectre Exarch,"12""",3+,3+,3,3,2,2,8,3+,26,,0-1,FALSE,25mm,
616,1,Wasp Assault Walker,"10""",3+,3+,5,6,6,2,8,4+,50,,1-3,FALSE,60mm,
617,1,Wraithseer,"8""",3+,3+,7,8,9,4,9,3+,130,,1,FALSE,60mm,
618,1,Hornet,"18""",6+,3+,4,6,8,2,8,3+,80,,1-3,FALSE,60mm,
619,1,Warp Hunter,"16""",6+,3+,6,7,12,3,8,3+,195,,1,FALSE,Use model,
620,1,Lynx,"18""",6+,3+,6,7,16,3,8,3+,220,,1,FALSE,Use model,
621,1,Scorpion,"14""",6+,3+,8,8,26,6,9,3+,500,,1,FALSE,Use model,
622,1,Cobra,"14""",6+,3+,8,8,26,6,9,3+,450,,1,FALSE,Use model,
623,1,Nightwing,"20-60""",6+,3+,6,6,14,3,8,3+,220,,1,FALSE,120 x 92mm flying base,
624,1,Phoenix,"20-60""",6+,3+,6,6,16,3,8,3+,210,,1,TRUE,120 x 92mm flying base,
625,1,Vampire Raider,"20-50""",6+,3+,8,8,32,6,9,3+,400,,1,TRUE,170 x 109mm flying base,
626,1,Vampire Hunter,"20-50""",6+,3+,8,8,32,6,9,3+,600,,1,TRUE,170 x 109mm flying base,
627,1,Skathach Wraithknight,"12""",3+,3+,8,8,24,4,9,3+,325,,1,FALSE,120 x 92mm,
628,1,Revenant Titan,"30""",3+,3+,9,9,32,4,10,3+,1500,,1,FALSE,Use model,
629,1,Corsair Cloud Dancer,"16""",3+,3+,3,4,2,1,6,4+,22,,3-9,FALSE,32mm flying base,
629,2,Corsair Cloud Dancer Felarch,"16""",3+,3+,3,4,2,2,7,4+,22,,0-1,FALSE,32mm flying base,
630,1,Irillyth,"12""",2+,2+,4,4,6,4,9,2+,140,,1,FALSE,25mm,
631,1,Phantom Titan,"24""",3+,3+,9,9,60,6,10,3+,3000,,1,FALSE,Use model,
632,1,Corsair Reaver,"8""",3+,3+,3,3,1,1,6,5+,9,,5-15,FALSE,25mm,
632,2,Corsair Reaver Felarch,"8""",3+,3+,3,3,1,2,7,5+,9,,0-1,FALSE,25mm,
633,1,Corsair Skyreaver,"16""",3+,3+,3,3,1,1,6,5+,12,,5-15,FALSE,25mm,
633,2,Corsair Skyreaver Felarch,"16""",3+,3+,3,3,1,2,7,5+,12,,0-1,FALSE,25mm,
634,1,Archon,"8""",2+,2+,3,3,5,5,9,4+,70,,1,FALSE,25mm,
638,1,Ur-Ghul,"8""",3+,-,4,3,3,4,4,7+,15,,1,TRUE,32mm,
639,1,Succubus,"8""",2+,2+,3,3,5,6,8,6+,80,,1,FALSE,25mm,
640,1,Lelith Hesperax,"8""",2+,2+,3,3,5,7,8,6+,90,,1,FALSE,32mm,
641,1,Haemonculus,"7""",2+,2+,3,4,6,4,8,6+,80,,1,FALSE,25mm,
642,1,Urien Rakarth,"7""",2+,2+,3,5,6,5,8,6+,100,,1,FALSE,25mm,
643,1,Drazhar,"7""",2+,2+,4,4,6,5,9,2+,145,,1,FALSE,40mm,
644,1,Kabalite Warrior,"7""",3+,3+,3,3,1,2,7,4+,8,,4-19,FALSE,25mm,
644,2,Sybarite,"7""",3+,3+,3,3,1,3,8,4+,8,,1,FALSE,25mm,
645,1,Kabalite Trueborn,"7""",3+,3+,3,3,1,2,8,5+,11,,4-19,FALSE,25mm,
645,2,Dracon,"7""",3+,3+,3,3,1,3,8,5+,11,,1,FALSE,25mm,
646,1,Wych,"8""",3+,3+,3,3,1,3,7,6+,10,,4-19,FALSE,25mm,
646,2,Hekatrix,"8""",3+,3+,3,3,1,4,8,6+,10,,1,FALSE,25mm,
647,1,Hekatrix Bloodbride,"8""",3+,3+,3,3,1,3,8,6+,13,,4-19,FALSE,25mm,
647,2,Syren,"8""",3+,3+,3,3,1,4,8,6+,13,,1,FALSE,25mm,
648,1,Incubi,"7""",2+,3+,3,3,1,3,8,3+,18,,4-9,FALSE,28mm,
648,2,Klaivex,"7""",2+,3+,3,3,2,4,9,3+,18,,1,FALSE,28mm,
649,1,Mandrake,"8""",3+,3+,4,3,1,3,7,7+,15,,4-9,FALSE,25mm,
649,2,Nightfiend,"8""",3+,3+,4,3,1,4,8,7+,15,,1,FALSE,25mm,
650,1,Wrack,"7""",3+,3+,3,4,1,2,7,6+,9,,4-19,FALSE,25mm,
650,2,Acothyst,"7""",3+,3+,3,4,1,3,8,6+,9,,1,FALSE,25mm,
651,1,Grotesque,"7""",3+,6+,5,5,4,4,8,6+,35,,3-6,FALSE,40mm,
652,1,Beastmaster,"12""",3+,3+,3,4,3,3,7,5+,35,,1,FALSE,32mm flying base,
653,1,Clawed Fiend,"10""",4+,-,5,5,4,5,4,5+,25,,1-6,FALSE,40mm,
654,1,Khymera,"10""",3+,-,4,4,1,3,4,6+,10,,2-6,FALSE,40mm,
655,1,Razorwing Flock,"12""",4+,-,2,2,4,4,4,7+,12,,3-9,FALSE,40mm,
656,1,Raider,"14""",4+,3+,6,6,10,3,7,4+,95,,1,FALSE,60mm flying base,
657,1,Venom,"16""",4+,3+,5,5,6,3,7,4+,65,,1,FALSE,60mm flying base,
658,1,Reaver,"18""",3+,3+,3,4,2,3,7,4+,20,,2-11,FALSE,32mm flying base,
658,2,Arena Champion,"18""",3+,3+,3,4,2,4,8,4+,20,,1,FALSE,32mm flying base,
659,1,Hellion,"14""",3+,3+,3,4,2,3,7,5+,17,,4-19,FALSE,32mm flying base,
659,2,Helliarch,"14""",3+,3+,3,4,2,4,8,5+,17,,1,FALSE,32mm flying base,
660,1,Razorwing Jetfighter,"20-72""",6+,3+,6,6,10,3,7,4+,150,,1,FALSE,120 x 92mm flying base,
661,1,Voidraven Bomber,"20-60""",6+,3+,6,6,12,3,7,4+,175,,1,FALSE,120 x 92mm flying base,
662,1,Scourge,"14""",3+,3+,3,3,1,2,7,4+,12,,4-9,FALSE,32mm,
662,2,Solarite,"14""",3+,3+,3,3,1,3,8,4+,12,,1,FALSE,32mm,
663,1,Talos,"8""",3+,4+,6,6,7,5,8,3+,100,,1-3,FALSE,60mm flying base,
664,1,Cronos,"8""",4+,3+,5,6,7,4,9,3+,75,,1-3,FALSE,60mm flying base,
665,1,Ravager,"14""",4+,3+,6,6,11,3,7,4+,130,,1,FALSE,Use model,
666,1,Reaper,"14""",4+,3+,6,6,10,3,7,4+,140,,1,FALSE,Use model,
667,1,Tantalus,"16""",4+,3+,7,7,18,6,7,3+,220,,1,FALSE,Use model,
680,1,Tank Commander,"10""",6+,4+,7,8,13,6,7,2+,160,,1,FALSE,Use model,
684,1,Guardsman,"6""",4+,4+,3,3,1,1,6,5+,,,9*,FALSE,25mm,
684,2,Sergeant,"6""",4+,4+,3,3,1,2,7,5+,,,1,FALSE,25mm,
684,3,Heavy Weapons Team,"6""",4+,4+,3,3,2,2,6,5+,,,0-1*,FALSE,50mm,
686,1,Heavy Weapons Team,"6""",4+,4+,3,3,2,2,6,5+,,,3,FALSE,50mm,
689,1,Rough Rider,"10""",4+,4+,3,3,2,1,6,5+,8,,4-9,FALSE,40mm,
689,2,Rough Rider Sergeant,"10""",4+,4+,3,3,2,2,7,5+,8,,1,FALSE,40mm,
690,1,Scout Sentinel,"12""",4+,4+,6,6,7,2,7,4+,40,,1-3,FALSE,80mm,
691,1,Armoured Sentinel,"8""",4+,4+,6,6,7,2,7,3+,45,,1-3,FALSE,80mm,
692,1,Chimera,"12""",6+,4+,6,7,11,3,7,3+,85,,1,FALSE,Use model,
693,1,Taurox,"14""",6+,4+,6,6,10,3,7,3+,70,,1,FALSE,Use model,
694,1,Hellhound,"12""",6+,4+,6,7,11,3,7,3+,110,,1,FALSE,Use model,
695,1,Basilisk,"10""",6+,4+,6,7,11,3,7,3+,140,,1,FALSE,Use model,
696,1,Hydra,"10""",6+,4+,6,7,11,3,7,3+,110,,1,FALSE,Use model,
697,1,Wyvern,"10""",6+,4+,6,7,11,3,7,3+,120,,1,FALSE,Use model,
